Player,Name,Position,Age,Height,Weight,FGM,FGA,FG Percentage,Type,Previous Salary
<img src='dgreen.png' height='80'></img>,Danny Green,G,33,"6'6""",215,9,23,39.10%,Unrestricted,15000000
<img src='bullock.png' height='80'></img>,Reggie Bullock,G-F,30,"6'7""",205,8,14,57.10%,Unrestricted,4100000
<img src='niang.png' height='80'></img>,Georges Niang,F,27,"6'7""",230,8,18,44.40%,Unrestricted,1650000
<img src='mclemore.png' height='80'></img>,Ben McLemore,G,28,"6'3""",195,6,9,66.70%,Unrestricted,610000
<img src='robinson.png' height='80'></img>,Duncan Robinson,F,27,"6'7""",215,6,14,42.90%,Restricted,1030000
<img src='powell.png' height='80'></img>,Norman Powell,G,28,"6'3""",215,6,8,75.00%,Player Option,10500000
<img src='temple.png' height='80'></img>,Garrett Temple,G-F,35,"6'5""",195,6,8,75.00%,Unrestricted,4767000
<img src='bazemore.png' height='80'></img>,Kent Bazemore,G-F,31,"6'4""",195,5,13,38.50%,Unrestricted,2320000
<img src='korkmaz.png' height='80'></img>,Furkan Korkmaz,G-F,23,"6'7""",202,5,11,45.50%,Unrestricted,1700000
<img src='collins.png' height='80'></img>,John Collins,F-C,23,"6'9""",235,5,9,55.60%,Restricted,2764000
<img src='davis.png' height='80'></img>,Terence Davis,G,24,"6'4""",201,5,8,62.50%,Restricted,1208000
<img src='green.png' height='80'></img>,Jeff Green,F,34,"6'8""",235,5,10,50.00%,Unrestricted,2564753
<img src='jackson.png' height='80'></img>,Frank Jackson,G,23,"6'3""",205,4,4,100.00%,Restricted,1900000
<img src='hardaway.png' height='80'></img>,Tim Hardaway Jr.,G-F,29,"6'5""",205,4,7,57.10%,Unrestricted,17737500
<img src='fournier.png' height='80'></img>,Evan Fournier,G-F,28,"6'7""",205,4,4,100.00%,Unrestricted,17000000
<img src='markkanen.png' height='80'></img>,Lauri Markkanen,F-C,24,"7'0""",240,4,5,80.00%,Restricted,5097417
<img src='burks.png' height='80'></img>,Alec Burks,G,29,"6'6""",214,4,4,100.00%,Unrestricted,6000000
<img src='craig.png' height='80'></img>,Torrey Craig,F,30,"6'7""",221,3,10,30.00%,Unrestricted,1678854
<img src='snell.png' height='80'></img>,Tony Snell,G,29,"6'6""",213,3,3,100.00%,Unrestricted,11500000
<img src='mcdermott.png' height='80'></img>,Doug McDermott,F,29,"6'7""",225,3,7,42.90%,Unrestricted,7333333
<img src='batum.png' height='80'></img>,Nicolas Batum,G-F,32,"6'8""",230,3,6,50.00%,Unrestricted,2564753
<img src='johnson.png' height='80'></img>,Tyler Johnson,G,29,"6'3""",186,3,5,60.00%,Unrestricted,2028594
<img src='svi.png' height='80'></img>,Svi Mykhailiuk,G-F,24,"6'7""",205,3,7,42.90%,Restricted,1522802
<img src='brooks.png' height='80'></img>,Armoni Brooks,G,23,"6'3""",195,3,8,37.50%,Restricted,898310
<img src='graham.png' height='80'></img>,Devonte' Graham,G,26,"6'1""",195,2,5,40.00%,Restricted,1356392
<img src='bey.png' height='80'></img>,Saddiq Bey,F,22,"6'7""",215,2,9,22.20%,Restricted,2689920
<img src='valentine.png' height='80'></img>,Denzel Valentine,G,27,"6'4""",220,2,4,50.00%,Unrestricted,4642800
<img src='patterson.png' height='80'></img>,Patrick Patterson,F,32,"6'8""",235,2,8,25.00%,Unrestricted,3077704
<img src='dragic.png' height='80'></img>,Goran Dragic,G,35,"6'3""",190,2,5,40.00%,Team Option,18000000
<img src='tucker.jpg' height='80'></img>,P.J. Tucker,F,36,"6'5""",245,2,9,22.20%,Unrestricted,7969537
<img src='rjackson.png' height='80'></img>,Reggie Jackson,G,31,"6'2""",208,2,10,20.00%,Unrestricted,2331593
