,game_id,date,team,opp,result,win,pt_diff,ortg,zone,fgm,fga,fg%
0,0,5/16/21,ATL,HOU,W 124-95,1,29,121.4,Restricted Area,29,38,0.763157895
1,1,5/16/21,HOU,ATL,L 95-124,0,-29,93,Restricted Area,10,21,0.476190476
2,2,5/16/21,BKN,CLE,W 123-109,1,14,125.1,Restricted Area,19,31,0.612903226
3,3,5/16/21,CLE,BKN,L 109-123,0,-14,110.9,Restricted Area,19,26,0.730769231
4,4,5/16/21,CHI,MIL,W 118-112,1,6,116.1,Restricted Area,24,32,0.75
5,5,5/16/21,MIL,CHI,L 112-118,0,-6,110.2,Restricted Area,17,32,0.53125
6,6,5/16/21,DET,MIA,L 107-120,0,-13,108.8,Restricted Area,23,35,0.657142857
7,7,5/16/21,MIA,DET,W 120-107,1,13,122,Restricted Area,28,38,0.736842105
8,8,5/16/21,GSW,MEM,W 113-101,1,12,117.4,Restricted Area,16,23,0.695652174
9,9,5/16/21,MEM,GSW,L 101-113,0,-12,105,Restricted Area,13,24,0.541666667
10,10,5/16/21,DAL,MIN,L 121-136,0,-15,123,Restricted Area,18,27,0.666666667
11,11,5/16/21,MIN,DAL,W 136-121,1,15,138.3,Restricted Area,26,36,0.722222222
12,12,5/16/21,LAL,NOP,W 110-98,1,12,109.6,Restricted Area,27,41,0.658536585
13,13,5/16/21,NOP,LAL,L 98-110,0,-12,97.6,Restricted Area,22,34,0.647058824
14,14,5/16/21,BOS,NYK,L 92-96,0,-4,99.3,Restricted Area,18,31,0.580645161
15,15,5/16/21,NYK,BOS,W 96-92,1,4,103.7,Restricted Area,11,18,0.611111111
16,16,5/16/21,LAC,OKC,L 112-117,0,-5,114.3,Restricted Area,15,28,0.535714286
17,17,5/16/21,OKC,LAC,W 117-112,1,5,119.4,Restricted Area,24,31,0.774193548
18,18,5/16/21,ORL,PHI,L 117-128,0,-11,115.1,Restricted Area,15,25,0.6
19,19,5/16/21,PHI,ORL,W 128-117,1,11,125.9,Restricted Area,21,33,0.636363636
20,20,5/16/21,DEN,POR,L 116-132,0,-16,118.5,Restricted Area,19,28,0.678571429
21,21,5/16/21,POR,DEN,W 132-116,1,16,134.8,Restricted Area,20,24,0.833333333
22,22,5/16/21,SAC,UTA,L 99-121,0,-22,97.9,Restricted Area,21,28,0.75
23,23,5/16/21,UTA,SAC,W 121-99,1,22,119.6,Restricted Area,13,22,0.590909091
24,24,5/16/21,PHX,SAS,W 123-121,1,2,119.7,Restricted Area,17,30,0.566666667
25,25,5/16/21,SAS,PHX,L 121-123,0,-2,117.7,Restricted Area,27,35,0.771428571
26,26,5/16/21,IND,TOR,W 125-113,1,12,121.9,Restricted Area,14,21,0.666666667
27,27,5/16/21,TOR,IND,L 113-125,0,-12,110.2,Restricted Area,16,23,0.695652174
28,28,5/16/21,CHA,WAS,L 110-115,0,-5,107.6,Restricted Area,14,16,0.875
29,29,5/16/21,WAS,CHA,W 115-110,1,5,112.5,Restricted Area,17,21,0.80952381
30,30,5/15/21,BKN,CHI,W 105-91,1,14,113.2,Restricted Area,13,23,0.565217391
31,31,5/15/21,CHI,BKN,L 91-105,0,-14,98.1,Restricted Area,11,26,0.423076923
32,32,5/15/21,IND,LAL,L 115-122,0,-7,114.4,Restricted Area,17,26,0.653846154
33,33,5/15/21,LAL,IND,W 122-115,1,7,121.4,Restricted Area,23,37,0.621621622
34,34,5/15/21,MIA,MIL,L 108-122,0,-14,107.9,Restricted Area,13,21,0.619047619
35,35,5/15/21,MIL,MIA,W 122-108,1,14,121.9,Restricted Area,13,17,0.764705882
36,36,5/15/21,BOS,MIN,W 124-108,1,16,122,Restricted Area,23,33,0.696969697
37,37,5/15/21,MIN,BOS,L 108-124,0,-16,106.3,Restricted Area,27,35,0.771428571
38,38,5/15/21,CHA,NYK,L 109-118 (OT),0,-9,110.3,Restricted Area,19,39,0.487179487
39,39,5/15/21,NYK,CHA,W 118-109 (OT),1,9,119.4,Restricted Area,12,20,0.6
40,40,5/15/21,PHX,SAS,W 140-103,1,37,132.8,Restricted Area,20,26,0.769230769
41,41,5/15/21,SAS,PHX,L 103-140,0,-37,97.7,Restricted Area,18,24,0.75
42,42,5/14/21,DAL,TOR,W 114-110,1,4,118.6,Restricted Area,14,21,0.666666667
