Game ID,Date,Team,Opp,Result,Pts,Opp_Pts,ORtg
0,5/16/21,ATL,HOU,W 124-95,124,95,121.4
1,5/16/21,HOU,ATL,L 95-124,95,124,93
2,5/16/21,BKN,CLE,W 123-109,123,109,125.1
3,5/16/21,CLE,BKN,L 109-123,109,123,110.9
4,5/16/21,CHI,MIL,W 118-112,118,112,116.1
5,5/16/21,MIL,CHI,L 112-118,112,118,110.2
6,5/16/21,DET,MIA,L 107-120,107,120,108.8
7,5/16/21,MIA,DET,W 120-107,120,107,122
8,5/16/21,GSW,MEM,W 113-101,113,101,117.4
9,5/16/21,MEM,GSW,L 101-113,101,113,105
10,5/16/21,DAL,MIN,L 121-136,121,136,123
11,5/16/21,MIN,DAL,W 136-121,136,121,138.3
12,5/16/21,LAL,NOP,W 110-98,110,98,109.6
13,5/16/21,NOP,LAL,L 98-110,98,110,97.6
14,5/16/21,BOS,NYK,L 92-96,92,96,99.3
15,5/16/21,NYK,BOS,W 96-92,96,92,103.7
16,5/16/21,LAC,OKC,L 112-117,112,117,114.3
17,5/16/21,OKC,LAC,W 117-112,117,112,119.4
18,5/16/21,ORL,PHI,L 117-128,117,128,115.1
19,5/16/21,PHI,ORL,W 128-117,128,117,125.9
20,5/16/21,DEN,POR,L 116-132,116,132,118.5
21,5/16/21,POR,DEN,W 132-116,132,116,134.8
22,5/16/21,SAC,UTA,L 99-121,99,121,97.9
23,5/16/21,UTA,SAC,W 121-99,121,99,119.6
24,5/16/21,PHX,SAS,W 123-121,123,121,119.7
25,5/16/21,SAS,PHX,L 121-123,121,123,117.7
26,5/16/21,IND,TOR,W 125-113,125,113,121.9
27,5/16/21,TOR,IND,L 113-125,113,125,110.2
28,5/16/21,CHA,WAS,L 110-115,110,115,107.6
29,5/16/21,WAS,CHA,W 115-110,115,110,112.5
30,5/15/21,BKN,CHI,W 105-91,105,91,113.2
31,5/15/21,CHI,BKN,L 91-105,91,105,98.1
32,5/15/21,IND,LAL,L 115-122,115,122,114.4
33,5/15/21,LAL,IND,W 122-115,122,115,121.4
34,5/15/21,MIA,MIL,L 108-122,108,122,107.9
35,5/15/21,MIL,MIA,W 122-108,122,108,121.9
36,5/15/21,BOS,MIN,W 124-108,124,108,122
37,5/15/21,MIN,BOS,L 108-124,108,124,106.3
38,5/15/21,CHA,NYK,L 109-118 (OT),109,118,110.3
39,5/15/21,NYK,CHA,W 118-109 (OT),118,109,119.4
40,5/15/21,PHX,SAS,W 140-103,140,103,132.8
41,5/15/21,SAS,PHX,L 103-140,103,140,97.7
42,5/14/21,DAL,TOR,W 114-110,114,110,118.6
43,5/14/21,TOR,DAL,L 110-114,110,114,114.5
44,5/14/21,DEN,DET,W 104-91,104,91,113.1
45,5/14/21,DET,DEN,L 91-104,91,104,99
46,5/14/21,GSW,NOP,W 125-122,125,122,120.5
47,5/14/21,NOP,GSW,L 122-125,122,125,117.7
48,5/14/21,HOU,LAC,W 122-115,122,115,120
49,5/14/21,LAC,HOU,L 115-122,115,122,113.1
50,5/14/21,MEM,SAC,W 107-106,107,106,105.6
51,5/14/21,SAC,MEM,L 106-107,106,107,104.7
52,5/14/21,OKC,UTA,L 93-109,93,109,98.9
53,5/14/21,UTA,OKC,W 109-93,109,93,115.9
54,5/14/21,ORL,PHI,L 97-122,97,122,100.9
55,5/14/21,PHI,ORL,W 122-97,122,97,126.9
56,5/14/21,CLE,WAS,L 105-120,105,120,103.7
57,5/14/21,WAS,CLE,W 120-105,120,105,118.5
58,5/13/21,ATL,ORL,W 116-93,116,93,121.2
59,5/13/21,ORL,ATL,L 93-116,93,116,97.2
60,5/13/21,CHI,TOR,W 114-102,114,102,117.6
61,5/13/21,TOR,CHI,L 102-114,102,114,105.2
62,5/13/21,CHA,LAC,L 90-113,90,113,98
63,5/13/21,LAC,CHA,W 113-90,113,90,123
64,5/13/21,IND,MIL,L 133-142,133,142,123.4
65,5/13/21,MIL,IND,W 142-133,142,133,131.7
